schema,table,ordinal,column,data_type
bi_jus_vn,etl_ingame_gardenplaceunit,30,transid,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,31,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_gardenplaceunit,32,udid,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,33,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,34,unit_id,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,35,urs,varchar
bi_jus_vn,etl_ingame_gardenplaceunit,36,ds,date
bi_jus_vn,etl_ingame_gardenremoveunit,1,log_type,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,2,__event_id,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,3,account_id,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,4,app_channel,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,5,app_ver,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,6,area_id,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,7,caid,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,8,count,bigint
bi_jus_vn,etl_ingame_gardenremoveunit,9,country_code,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,10,device_height,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,11,device_model,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,12,device_width,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,13,engine_ver,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,14,garden_id,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,15,imei,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,16,is_emulator,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,17,is_root,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,18,isp,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,19,language,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,20,mac_addr,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,21,network,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,22,oaid,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,23,old_accountid,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,24,os_name,varchar
